archive_id,sealed_utc,shipment_id,consignee,hs_code,declared_value_sgd,customs_ref,depot
ARC-2026-000101,2026-08-24T01:05:00Z,KF-SG-100001,Pahang Agri Bhd,0803.10,18450.00,SG-EXP-884201,depot-a
ARC-2026-000102,2026-08-24T02:41:00Z,KF-SG-100002,Sentosa Marine Supply,8481.80,127300.00,SG-EXP-884202,depot-b
ARC-2026-000103,2026-08-24T04:12:00Z,KF-SG-100003,Chao Phraya Textiles,5208.52,9840.00,SG-EXP-884203,depot-a
ARC-2026-000104,2026-08-24T05:58:00Z,KF-SG-100004,Mekong Cold Chain,8418.69,88200.00,SG-EXP-884204,depot-c
ARC-2026-000105,2026-08-24T07:33:00Z,KF-SG-100005,Penang Semicon Works,8542.31,412750.00,SG-EXP-884205,depot-a
ARC-2026-000106,2026-08-24T09:07:00Z,KF-SG-100006,Kowloon Optics Ltd,9002.11,64100.00,SG-EXP-884206,depot-b
ARC-2026-000107,2026-08-24T10:44:00Z,KF-SG-100007,Shanghai Polymer Group,3902.10,203400.00,SG-EXP-884207,depot-c
ARC-2026-000108,2026-08-24T12:19:00Z,KF-SG-100008,Klang Valley Foods,2106.90,7320.00,SG-EXP-884208,depot-a
ARC-2026-000109,2026-08-24T13:55:00Z,KF-SG-100009,Manila Bay Fisheries,0306.17,31600.00,SG-EXP-884209,depot-b
ARC-2026-000110,2026-08-24T15:30:00Z,KF-SG-100010,Surabaya Rubber Co,4011.10,54900.00,SG-EXP-884210,depot-c
ARC-2026-000111,2026-08-25T01:06:00Z,KF-SG-100011,Laem Chabang Steel,7208.39,176800.00,SG-EXP-884211,depot-b
ARC-2026-000112,2026-08-25T02:42:00Z,KF-SG-100012,Johor Precision Tools,8207.30,22400.00,SG-EXP-884212,depot-a
ARC-2026-000113,2026-08-25T04:17:00Z,KF-SG-100013,Chennai Pharma Labs,3004.90,98750.00,SG-EXP-884213,depot-b
ARC-2026-000114,2026-08-25T05:53:00Z,KF-SG-100014,Sydney Cellar Imports,2204.21,41200.00,SG-EXP-884214,depot-c
ARC-2026-000115,2026-08-25T07:28:00Z,KF-SG-100015,Port Klang Logistics,3923.29,15600.00,SG-EXP-884215,depot-a
ARC-2026-000116,2026-08-25T09:04:00Z,KF-SG-100016,Busan Shipworks,8908.00,318000.00,SG-EXP-884216,depot-c
ARC-2026-000117,2026-08-25T10:39:00Z,KF-SG-100017,Tokyo Instrument KK,9027.80,142900.00,SG-EXP-884217,depot-b
ARC-2026-000118,2026-08-25T12:15:00Z,KF-SG-100018,Tanjung Priok Cement,2523.29,67300.00,SG-EXP-884218,depot-c
ARC-2026-000119,2026-08-25T13:50:00Z,KF-SG-100019,Butterworth Cables,8544.49,52100.00,SG-EXP-884219,depot-a
ARC-2026-000120,2026-08-25T15:26:00Z,KF-SG-100020,Haiphong Furniture JSC,9403.60,29800.00,SG-EXP-884220,depot-b
ARC-2026-000121,2026-08-26T01:01:00Z,KF-SG-100021,Bangkok Auto Parts,8708.99,73400.00,SG-EXP-884221,depot-a
ARC-2026-000122,2026-08-26T02:37:00Z,KF-SG-100022,Shenzhen Display Tech,8528.72,286500.00,SG-EXP-884222,depot-c
ARC-2026-000123,2026-08-26T04:12:00Z,KF-SG-100023,Iskandar Glassworks,7005.29,19700.00,SG-EXP-884223,depot-a
ARC-2026-000124,2026-08-26T05:48:00Z,KF-SG-100024,Cebu Handicraft Export,4602.11,8450.00,SG-EXP-884224,depot-b
ARC-2026-000125,2026-08-26T07:23:00Z,KF-SG-100025,Kuantan Palm Oil Bhd,1511.90,164200.00,SG-EXP-884225,depot-a
ARC-2026-000126,2026-08-26T08:59:00Z,KF-SG-100026,Ho Chi Minh Apparel,6203.42,37900.00,SG-EXP-884226,depot-b
ARC-2026-000127,2026-08-26T10:34:00Z,KF-SG-100027,Qingdao Bearing Works,8482.10,91600.00,SG-EXP-884227,depot-c
ARC-2026-000128,2026-08-26T12:10:00Z,KF-SG-100028,Melaka Solar Systems,8541.43,225800.00,SG-EXP-884228,depot-a
ARC-2026-000129,2026-08-26T13:45:00Z,KF-SG-100029,Yangon Rice Traders,1006.30,46300.00,SG-EXP-884229,depot-b
ARC-2026-000130,2026-08-26T15:21:00Z,KF-SG-100030,Darwin Mining Supply,8431.43,398100.00,SG-EXP-884230,depot-c
