entry_id,posted_utc,shipment_id,ledger_shard,movement,units,gross_sgd
LDG-500001,2026-09-01T00:12:00Z,KF-SG-100001,shard-0,inbound,18,2140.50
LDG-500002,2026-09-01T00:47:00Z,KF-SG-100002,shard-1,inbound,240,31880.00
LDG-500003,2026-09-01T01:23:00Z,KF-SG-100003,shard-2,outbound,6,948.75
LDG-500004,2026-09-01T01:58:00Z,KF-SG-100004,shard-0,inbound,175,20415.00
LDG-500005,2026-09-01T02:34:00Z,KF-SG-100005,shard-1,outbound,32,4712.25
LDG-500006,2026-09-01T03:09:00Z,KF-SG-100006,shard-2,inbound,11,1603.40
LDG-500007,2026-09-01T03:45:00Z,KF-SG-100007,shard-0,inbound,310,42760.00
LDG-500008,2026-09-01T04:20:00Z,KF-SG-100008,shard-1,outbound,14,1092.60
LDG-500009,2026-09-01T04:56:00Z,KF-SG-100009,shard-2,inbound,9,1348.90
LDG-500010,2026-09-01T05:31:00Z,KF-SG-100010,shard-0,inbound,164,19230.00
LDG-500011,2026-09-01T06:07:00Z,KF-SG-100011,shard-1,inbound,208,27640.00
LDG-500012,2026-09-01T06:42:00Z,KF-SG-100012,shard-2,outbound,5,610.00
LDG-500013,2026-09-01T07:18:00Z,KF-SG-100013,shard-0,inbound,7,1024.30
LDG-500014,2026-09-01T07:53:00Z,KF-SG-100014,shard-1,outbound,21,3186.75
LDG-500015,2026-09-01T08:29:00Z,KF-SG-100015,shard-2,inbound,26,3412.00
LDG-500016,2026-09-01T09:04:00Z,KF-SG-100016,shard-0,inbound,279,38105.50
LDG-500017,2026-09-01T09:40:00Z,KF-SG-100017,shard-1,outbound,13,1905.20
LDG-500018,2026-09-01T10:15:00Z,KF-SG-100018,shard-2,inbound,221,29740.00
LDG-500019,2026-09-01T10:51:00Z,KF-SG-100019,shard-0,inbound,44,5806.00
LDG-500020,2026-09-01T11:26:00Z,KF-SG-100020,shard-1,inbound,196,25320.00
LDG-500021,2026-09-01T12:02:00Z,KF-SG-100021,shard-0,outbound,8,1187.40
LDG-500022,2026-09-01T12:37:00Z,KF-SG-100022,shard-1,inbound,253,34970.00
LDG-500023,2026-09-01T13:13:00Z,KF-SG-100023,shard-0,outbound,12,1640.00
LDG-500024,2026-09-01T13:48:00Z,KF-SG-100024,shard-2,inbound,17,2298.65
